,x,y,z,z_pred
0,0.0,0.0,0.9008208526933444,1.5770131126915132
1,0.2564565431501872,0.0,1.2732278609742802,1.7793482068078288
2,0.5129130863003744,0.0,1.46763850394396,1.939667241026437
3,0.7693696294505615,0.0,1.6145116427952249,2.0549560787742918
4,1.0258261726007487,0.0,1.8732466876448088,2.123856056746834
5,1.2822827157509358,0.0,2.046391692356727,2.1467585276387955
6,1.538739258901123,0.0,1.9099001011736427,2.1258226531467246
7,1.7951958020513104,0.0,2.039785501838736,2.0649119432628504
8,2.0516523452014974,0.0,1.8209829195575904,1.9694491522233837
9,2.3081088883516845,0.0,1.8045767129897576,1.8461935100046953
10,2.564565431501872,0.0,1.4919553094151905,1.7029486408098453
11,2.821021974652059,0.0,1.2333358683114894,1.5482136314238757
12,3.077478517802246,0.0,0.983864200909598,1.3907932995832413
13,3.333935060952433,0.0,0.7610240753638664,1.2393865324564124
14,3.5903916041026207,0.0,0.490578237155757,1.1021734121793705
15,3.846848147252808,0.0,0.4322216888688659,0.9864225663516936
16,4.103304690402995,0.0,0.2157044684475023,0.8981396893546069
17,4.359761233553182,0.0,0.1563708795358869,0.841776462460352
18,4.616217776703369,0.0,0.0282510936557263,0.8200162220549987
19,4.872674319853556,0.0,-0.0147184551067027,0.8336488273159449
20,5.129130863003743,0.0,0.0546328817218125,0.8815424720008813
21,5.385587406153931,0.0,0.1756658807264651,0.9607149373528127
22,5.642043949304118,0.0,0.3243330733594774,1.0665013028123425
23,5.898500492454305,0.0,0.6543268244493495,1.1928097474253843
24,6.154957035604492,0.0,0.8066787035952466,1.3324521159871132
25,6.411413578754679,0.0,1.1457595982961182,1.477531695827929
26,6.667870121904866,0.0,1.3786379966078726,1.6198674151780765
27,6.9243266650550535,0.0,1.5582229208173803,1.75143163348113
28,7.180783208205241,0.0,1.8510768679876293,1.8647779741685
29,7.437239751355428,0.0,1.828079968247002,1.9534362939903387
30,7.693696294505615,0.0,1.992419159345167,2.012253846392682
31,7.950152837655803,0.0,1.9779053867279683,2.037664852767243
32,8.20660938080599,0.0,2.021668321805056,2.0278748435407254
33,8.463065923956178,0.0,1.850593130884739,1.9829510095227614
34,8.719522467106364,0.0,1.60913609343221,1.9048151088730656
35,8.975979010256552,0.0,1.3838707970937862,1.7971408809672824
36,9.232435553406738,0.0,1.2862577005277376,1.6651630999128635
37,9.488892096556926,0.0,0.9162665360888724,1.5154100534914272
38,9.745348639707112,0.0,0.6620946896191984,1.3553750947068754
39,10.0018051828573,0.0,0.4087465141186723,1.1931457765606417
40,10.258261726007486,0.0,0.2242111141105191,1.0370108084290202
41,10.514718269157674,0.0,0.1634821746272636,0.8950656019491755
42,10.771174812307862,0.0,0.0125771900557386,0.774836519642696
43,11.027631355458048,0.0,-0.0323589401272458,0.6829421871708414
